initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,241.29883,786.27026,786.2704,690.9568,690.9568,63.71621621621622,87.3048048048048,90.48048048048048,74.14885193982582,77.90182106096596,79.74663499604117,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,211.2305311377284,775.2780312389416,775.2780228164855,752.8878673679545,752.8878629572224,63.66741741741742,87.25975975975976,90.53678678678679,73.46793349168647,74.48139350752177,80.89469517022961,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,296.29434,221.96559,221.96559,1082.1226,1082.1229,64.86486486486487,87.27102102102103,90.48423423423424,73.24623911322249,77.3950910530483,80.02375296912113,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,271.1321180571434,224.09775085317315,224.09775158500722,1134.7993564848794,1134.7993675352684,64.94369369369369,87.240990990991,90.46921921921921,72.77117973079969,78.48772763262075,78.93903404592241,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,324.99448,514.92456,514.92456,1131.5383,1131.5382,66.59909909909909,87.88663663663664,91.16741741741741,73.9667458432304,78.97862232779097,78.44022169437847,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,266.34347262470703,430.6161720060112,430.6161724468399,1029.0046561269141,1029.0046672321612,66.57657657657657,88.18318318318319,90.96096096096096,74.10134600158354,78.09184481393507,79.53285827395091,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,207.85635,490.08203,490.08203,1126.9722,1126.9719,66.8018018018018,87.95795795795796,90.76951951951952,77.54552652414885,80.22961203483769,77.65637371338084,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,258.868006648532,562.5763862434494,562.5763883550926,1342.1827490633211,1342.182757592162,66.71921921921921,88.05930930930931,90.82957957957957,76.14410134600158,76.36579572446556,80.61757719714964,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,203.39575,954.881,954.88116,404.4369,404.4367,59.02777777777778,85.97222222222223,89.05405405405405,72.24069675376089,77.38717339667458,76.23911322248614,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,195.72949770944683,1057.6798438369726,1057.6798446897055,412.60102449465217,412.6010216063482,59.02402402402402,85.76951951951952,89.05030030030031,72.23277909738718,76.40538400633413,75.95407759303247,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,148.17336,1190.8906,1190.8903,470.91208,470.912,62.710210210210214,87.30855855855856,90.746996996997,73.6658749010293,80.30878859857482,78.61441013460016,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,121.04732233776511,1183.3519628849874,1183.3519685998647,397.20344717324843,397.203451137665,62.64264264264264,87.98798798798799,90.58558558558559,74.14885193982582,80.0079176563737,79.49326999208235,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,185.67361,870.1814,870.18134,807.27484,807.2752,65.66816816816817,87.67267267267268,90.87087087087087,75.90657165479018,76.43705463182899,78.756927949327,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,172.98559179368058,810.5925660638682,810.592568107108,748.291704800045,748.2917162603347,65.48798798798799,87.55255255255256,90.77327327327328,75.2098178939034,77.52969121140143,80.3562945368171,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,243.27367,685.96265,685.96265,917.93713,917.93695,63.3445945945946,87.5,90.88963963963964,73.5471100554236,77.1021377672209,78.66983372921615,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,217.7822458937221,743.8133057259939,743.8133099454546,885.6399827660341,885.6399772297199,63.24324324324324,87.8078078078078,90.86711711711712,75.08313539192399,75.72446555819478,77.8147268408551,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,186.12773,657.1929,657.19293,973.45056,973.4508,61.317567567567565,86.82807807807808,90.18768768768768,73.05621536025336,77.17339667458432,79.26365795724466,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,158.0309966214818,580.2907588716658,580.2907585637647,882.8151840683952,882.8151631470267,61.32132132132132,86.61786786786787,89.88738738738739,73.52335708630245,77.0387965162312,78.3372921615202,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,343.7979,779.8136,779.8131,608.3584,608.3586,69.95870870870871,88.78378378378379,91.63663663663664,77.60886777513856,79.33491686460808,79.38242280285036,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,320.17260049151554,766.3161704240572,766.3161742610089,591.7439516596943,591.7439477680878,69.98123123123123,88.48348348348348,91.58783783783784,74.56848772763261,77.79889152810767,80.55423594615993,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,212.86615,510.86874,510.86874,1173.4958,1173.4958,65.96471471471472,87.26726726726727,90.59684684684684,72.71575613618369,79.31116389548694,78.31353919239905,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,202.25430773643302,538.0058583765035,538.0058614107268,1149.4222248071576,1149.422224338691,65.88588588588588,87.88288288288288,90.56306306306307,73.68962787015043,75.37608867775138,77.20506730007918,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,256.66977,907.08453,907.0845,683.11475,683.11475,66.14114114114115,87.87912912912913,90.62312312312312,75.28107680126682,79.44576405384007,78.91528107680126,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,206.00639111725664,819.1363469894308,819.1363523681341,608.7303524188186,608.7303491631117,66.33633633633633,88.22822822822823,90.51801801801801,76.67458432304038,77.29216152019002,79.18448139350753,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,244.42322,743.85876,743.8587,1046.393,1046.3931,68.65990990990991,89.11786786786787,91.90690690690691,75.76405384006334,78.42438638163104,80.66508313539192,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,213.9212571569346,677.3712585665156,677.3712520070089,916.5827084481975,916.5827021893415,68.65990990990991,89.06531531531532,91.85810810810811,75.58194774346794,79.1132224861441,79.92082343626286,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,288.57776,1084.2794,1084.279,335.6882,335.68832,56.99324324324324,84.1403903903904,88.83633633633633,66.9754552652415,74.63974663499604,77.46634996041172,deeplift,13
